County,Year,# Days with AQI,Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,AQI Maximum,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days SO2,# Days PM2.5,# Days PM10
Humboldt,2015,365,332,33,0,0,0,90,49,32,0,0,259,0,89,17
Imperial,2015,365,87,236,39,3,0,175,105,63,0,4,142,0,136,83
Inyo,2015,365,203,141,12,6,3,1383,90,48,0,0,284,0,31,50
Kern,2015,365,44,199,93,28,1,201,146,84,0,1,227,0,133,4
Kings,2015,365,90,205,60,10,0,174,119,71,0,0,193,0,134,38
Lake,2015,363,351,11,1,0,0,148,47,36,0,0,361,0,2,0
Lassen,2015,,,,,,,,,,,,,,,
Los Angeles,2015,365,26,207,95,36,1,203,151,79,0,24,184,0,155,2
Madera,2015,365,109,209,43,4,0,154,105,63,0,0,219,0,128,18
Marin,2015,364,284,78,2,0,0,103,61,36,0,16,170,0,177,1
Mariposa,2015,365,239,115,6,4,1,215,84,46,0,0,323,0,33,9
Mendocino,2015,365,302,59,2,2,0,160,55,38,0,0,126,0,239,0
Merced,2015,365,142,178,41,4,0,159,105,58,0,0,214,0,150,1
Modoc,2015,,,,,,,,,,,,,,,
Mono,2015,365,321,25,2,4,13,3994,54,14,0,0,0,0,37,328
Monterey,2015,365,331,33,1,0,0,120,50,37,0,2,248,0,89,26
Napa,2015,365,237,127,1,0,0,108,69,44,1,0,141,0,221,2
Nevada,2015,364,217,116,29,2,0,166,93,47,0,0,356,0,8,0
Orange,2015,365,127,217,19,2,0,156,87,56,0,34,127,0,203,1
Placer,2015,365,168,176,17,4,0,187,90,54,0,0,263,0,102,0
Plumas,2015,132,68,50,10,4,0,157,102,49,0,0,0,0,132,0
Riverside,2015,365,42,184,105,32,2,238,150,87,0,0,193,0,107,65
Sacramento,2015,365,153,184,25,3,0,172,93,54,0,1,190,0,174,0
San Benito,2015,365,313,52,0,0,0,93,58,39,0,0,339,0,24,2
San Bernardino,2015,365,46,186,91,37,5,223,154,84,0,36,201,6,115,7
San Diego,2015,365,91,233,40,1,0,155,102,61,0,7,199,0,156,3
San Francisco,2015,365,300,65,0,0,0,100,56,35,0,62,163,0,140,0
San Joaquin,2015,365,138,191,32,4,0,164,100,56,0,1,164,0,195,5
San Luis Obispo,2015,365,163,197,5,0,0,126,80,53,0,0,185,0,161,19
San Mateo,2015,364,326,37,1,0,0,101,51,32,0,35,231,0,98,0
Santa Barbara,2015,365,249,115,1,0,0,101,67,45,0,3,242,0,116,4
Santa Clara,2015,365,247,111,7,0,0,147,67,43,0,15,183,0,167,0
Santa Cruz,2015,365,320,45,0,0,0,94,54,35,0,0,246,0,119,0
Shasta,2015,365,266,90,8,1,0,156,77,44,0,0,354,0,11,0
Sierra,2015,,,,,,,,,,,,,,,
Siskiyou,2015,362,334,24,4,0,0,139,48,36,0,0,340,0,20,2
Solano,2015,365,246,115,4,0,0,118,74,44,0,6,195,0,163,1
Sonoma,2015,365,321,44,0,0,0,88,53,35,0,0,259,0,102,4
Stanislaus,2015,365,127,190,43,5,0,187,112,59,0,0,198,0,159,8
Sutter,2015,365,194,163,8,0,0,119,84,49,1,2,225,0,136,1
Tehama,2015,365,231,115,18,1,0,153,87,45,0,0,311,0,52,2
Trinity,2015,68,68,0,0,0,0,49,22,9,0,0,0,0,68,0
Tulare,2015,365,50,217,78,20,0,170,143,78,0,0,204,0,157,4
Tuolumne,2015,364,264,89,11,0,0,126,77,43,0,0,364,0,0,0
Ventura,2015,365,183,169,13,0,0,126,84,50,0,4,222,0,135,4
Yolo,2015,365,236,125,4,0,0,103,75,44,0,1,231,0,133,0
Yuba,2015,,,,,,,,,,,,,,,
Alameda,2014,365,246,109,10,0,0,133,69,43,0,28,152,0,185,0
Alpine,2014,,,,,,,,,,,,,,,
Amador,2014,359,263,86,10,0,0,133,80,42,0,0,359,0,0,0
Butte,2014,365,173,178,12,2,0,155,84,52,0,0,228,0,137,0
Calaveras,2014,361,264,93,4,0,0,115,71,44,0,0,273,0,88,0
Colusa,2014,365,241,124,0,0,0,99,63,44,0,0,150,0,214,1
Contra Costa,2014,365,234,126,5,0,0,133,67,45,0,1,160,0,204,0
Del Norte,2014,115,112,3,0,0,0,55,33,12,0,0,0,0,115,0
El Dorado,2014,365,223,96,43,3,0,161,105,45,0,0,355,0,3,7
Fresno,2014,365,74,167,91,33,0,197,148,81,0,0,229,0,133,3
Glenn,2014,365,289,75,1,0,0,105,59,41,0,0,253,0,98,14
Humboldt,2014,365,238,123,4,0,0,115,64,38,0,0,108,0,239,18
Imperial,2014,365,46,265,45,5,4,359,112,67,0,1,103,0,170,91
Inyo,2014,365,233,117,6,5,4,911,83,47,0,0,290,0,32,43
Kern,2014,365,32,173,117,42,1,307,154,97,0,0,227,0,130,8
Kings,2014,365,85,203,52,25,0,172,126,71,0,0,199,0,118,48
Lake,2014,357,336,21,0,0,0,93,48,38,0,0,352,0,4,1
Lassen,2014,,,,,,,,,,,,,,,
Los Angeles,2014,365,23,234,80,26,2,205,143,80,0,18,169,0,174,4
Madera,2014,365,95,195,60,15,0,179,126,67,0,0,218,0,136,11
Marin,2014,365,261,103,1,0,0,107,61,43,0,6,48,0,311,0
Mariposa,2014,365,195,143,26,1,0,153,93,49,0,0,302,0,59,4
Mendocino,2014,365,292,73,0,0,0,95,58,38,0,0,156,0,208,1
Merced,2014,364,148,158,56,2,0,156,113,60,0,2,245,0,115,2
Modoc,2014,,,,,,,,,,,,,,,
Mono,2014,365,333,20,1,3,8,2514,44,15,0,0,0,0,30,335
Monterey,2014,365,337,28,0,0,0,100,48,37,0,0,250,0,79,36
Napa,2014,365,214,151,0,0,0,88,65,46,0,0,66,0,299,0
Nevada,2014,365,214,117,33,1,0,163,100,46,0,0,357,0,8,0
Orange,2014,365,83,261,19,2,0,156,87,59,0,16,70,0,277,2
Placer,2014,365,168,169,23,4,1,240,97,52,0,2,239,0,124,0
Plumas,2014,127,72,42,10,3,0,156,103,41,0,0,0,0,127,0
Riverside,2014,365,19,190,122,32,2,537,150,93,0,0,202,0,99,64
Sacramento,2014,365,178,147,40,0,0,147,105,51,0,2,245,0,116,2
San Benito,2014,365,299,62,4,0,0,115,61,42,0,0,343,0,20,2
San Bernardino,2014,365,38,199,83,44,1,201,159,81,0,16,213,0,119,17
San Diego,2014,365,89,237,37,2,0,165,101,61,0,16,205,0,130,14
San Francisco,2014,365,309,56,0,0,0,97,54,34,0,63,135,0,167,0
San Joaquin,2014,365,159,172,33,1,0,152,99,54,0,2,220,0,138,5
San Luis Obispo,2014,365,138,213,14,0,0,126,87,55,0,0,168,0,188,9
San Mateo,2014,364,318,46,0,0,0,99,53,34,0,29,181,0,154,0
Santa Barbara,2014,365,223,135,5,2,0,159,64,47,0,1,240,1,115,8
Santa Clara,2014,365,268,89,7,1,0,154,70,41,0,20,200,0,144,1
Santa Cruz,2014,365,301,52,12,0,0,136,66,35,0,0,237,0,128,0
Shasta,2014,365,277,82,6,0,0,126,71,43,0,0,354,0,9,2
Sierra,2014,,,,,,,,,,,,,,,
Siskiyou,2014,363,332,29,0,2,0,159,50,37,0,0,347,0,14,2
Solano,2014,365,254,108,3,0,0,124,67,43,0,1,161,0,203,0
Sonoma,2014,365,314,51,0,0,0,81,54,37,0,0,220,0,143,2
Stanislaus,2014,365,142,164,53,6,0,164,114,58,0,0,245,0,117,3
Sutter,2014,365,182,170,12,1,0,156,82,51,0,5,194,0,165,1
Tehama,2014,364,235,113,15,1,0,151,80,44,0,0,329,0,34,1
Trinity,2014,112,105,7,0,0,0,88,33,9,0,0,0,0,112,0
Tulare,2014,365,70,171,97,27,0,169,145,84,0,0,218,0,146,1
Tuolumne,2014,334,214,104,16,0,0,133,87,46,0,0,334,0,0,0
Ventura,2014,365,157,193,15,0,0,150,87,53,0,1,231,0,129,4
Yolo,2014,365,288,76,1,0,0,101,60,41,0,1,235,0,128,1
Yuba,2014,,,,,,,,,,,,,,,
Alameda,2013,365,189,168,8,0,0,122,79,50,0,11,77,0,277,0
Alpine,2013,,,,,,,,,,,,,,,
Amador,2013,365,301,62,2,0,0,108,61,38,0,0,365,0,0,0
Butte,2013,365,147,209,8,1,0,169,90,54,0,0,220,0,145,0
Calaveras,2013,364,248,114,2,0,0,119,64,45,0,0,223,0,141,0
Colusa,2013,364,250,112,2,0,0,126,63,41,0,0,135,0,223,6
Contra Costa,2013,365,210,152,3,0,0,115,69,46,0,3,117,1,244,0
Del Norte,2013,126,123,3,0,0,0,72,23,13,0,0,0,0,93,33
El Dorado,2013,365,222,120,23,0,0,147,90,45,0,0,362,0,3,0
Fresno,2013,365,53,173,114,25,0,197,147,87,0,1,213,0,145,6
Glenn,2013,361,244,116,1,0,0,101,64,44,0,0,203,0,158,0
Humboldt,2013,365,318,47,0,0,0,85,54,33,0,1,184,1,177,2
Imperial,2013,365,152,174,35,3,1,207,101,56,1,31,189,0,43,101
Inyo,2013,365,231,113,10,7,4,425,86,46,0,0,283,0,28,54
Kern,2013,365,35,194,104,31,1,218,148,89,0,0,174,0,188,3
Kings,2013,365,76,194,80,15,0,189,130,77,0,0,195,0,125,45
Lake,2013,364,355,9,0,0,0,80,44,33,0,0,362,0,2,0
Lassen,2013,,,,,,,,,,,,,,,
Los Angeles,2013,365,22,243,75,25,0,197,140,77,0,20,175,0,167,3
Madera,2013,365,66,225,64,10,0,190,119,71,0,0,189,0,169,7
Marin,2013,364,253,109,2,0,0,124,61,40,0,4,67,0,293,0
Mariposa,2013,365,177,166,21,0,1,230,90,51,0,0,281,0,81,3
Mendocino,2013,331,275,56,0,0,0,79,59,28,0,0,50,0,118,163
Merced,2013,364,139,177,43,5,0,164,112,58,0,1,193,0,167,3
Modoc,2013,,,,,,,,,,,,,,,
Mono,2013,365,311,43,6,1,4,3180,58,19,0,0,0,0,16,349
Monterey,2013,365,319,46,0,0,0,96,52,38,0,4,206,0,123,32
Napa,2013,365,218,144,3,0,0,119,70,44,0,4,123,0,238,0
Nevada,2013,362,207,134,21,0,0,140,91,47.5,0,0,336,0,26,0
Orange,2013,365,142,211,12,0,0,143,73,53,0,24,100,0,238,3
Placer,2013,365,182,166,13,4,0,161,84,51,0,5,210,0,150,0
Plumas,2013,119,65,39,13,2,0,162,113,42,0,0,0,0,119,0
Riverside,2013,365,34,195,98,36,2,455,151,87,0,0,190,0,122,53
Sacramento,2013,365,162,169,32,2,0,154,100,54,0,3,214,0,142,6
San Benito,2013,365,294,66,5,0,0,112,61,43,0,0,317,0,44,4
San Bernardino,2013,365,66,164,83,49,3,218,159,84,0,27,227,0,97,14
San Diego,2013,365,56,272,35,1,1,617,101,66,8,20,148,0,161,28
San Francisco,2013,365,254,109,2,0,0,133,65,38,0,49,86,0,230,0
San Joaquin,2013,365,122,210,24,9,0,157,99,57,0,0,80,0,269,16
San Luis Obispo,2013,365,103,247,15,0,0,136,90,59,0,0,172,3,160,30
San Mateo,2013,365,259,102,4,0,0,115,67,38,0,20,111,0,234,0
Santa Barbara,2013,365,237,124,4,0,0,122,64,46,0,1,247,4,109,4
Santa Clara,2013,365,206,151,7,1,0,152,80,48,0,2,151,0,212,0
Santa Cruz,2013,365,280,63,22,0,0,149,83,38,0,0,237,0,128,0
Shasta,2013,365,297,66,2,0,0,105,64,42,0,0,350,0,13,2
Sierra,2013,,,,,,,,,,,,,,,
Siskiyou,2013,361,326,31,4,0,0,121,50,37,0,0,338,0,22,1
Solano,2013,365,230,124,11,0,0,132,73,44,0,3,172,0,190,0
Sonoma,2013,365,291,74,0,0,0,85,61,36,0,1,213,0,149,2
Stanislaus,2013,365,142,158,54,11,0,165,118,61,0,1,216,0,147,1
Sutter,2013,365,205,151,9,0,0,126,84,48,0,4,232,0,128,1
Tehama,2013,365,254,100,11,0,0,136,74,43,0,0,297,0,67,1
Trinity,2013,218,150,52,16,0,0,143,97,27,0,0,0,0,201,17
Tulare,2013,365,61,166,111,26,1,201,143,84,0,0,217,0,148,0
Tuolumne,2013,364,284,78,2,0,0,119,64,42.5,0,0,364,0,0,0
Ventura,2013,365,182,172,10,1,0,159,77,51,0,4,226,0,129,6
Yolo,2013,365,282,83,0,0,0,91,61,41,0,3,275,0,84,3
Yuba,2013,,,,,,,,,,,,,,,
Alameda,2012,366,262,100,3,1,0,161,64,41,0,15,177,1,173,0
Alpine,2012,,,,,,,,,,,,,,,
Amador,2012,363,257,86,19,1,0,156,90,40,0,0,363,0,0,0
Butte,2012,366,170,165,23,8,0,186,97,53,0,0,223,0,143,0
Calaveras,2012,366,245,108,12,1,0,156,87,44,0,0,276,0,89,1
Colusa,2012,366,191,168,3,3,1,202,71,49,0,0,102,0,262,2
Contra Costa,2012,366,292,70,3,1,0,154,65,39,0,13,293,0,60,0
Del Norte,2012,119,119,0,0,0,0,45,26,10,0,0,0,0,84,35
El Dorado,2012,366,212,102,46,6,0,177,105,45,0,0,366,0,0,0
Fresno,2012,366,77,155,92,41,1,212,151,80,0,1,219,0,146,0
Glenn,2012,366,263,102,1,0,0,106,67,43,0,0,259,0,105,2
Humboldt,2012,366,316,50,0,0,0,72,52,35.5,0,0,197,0,169,0
Imperial,2012,366,173,154,34,4,1,274,101,51.5,2,57,232,0,60,15
Inyo,2012,366,204,133,15,4,10,3812,93,48,0,0,275,0,11,80
Kern,2012,366,64,160,92,49,1,202,154,84,0,0,217,0,145,4
Kings,2012,366,117,183,60,6,0,172,114,66,0,0,209,0,137,20
Lake,2012,362,336,23,3,0,0,143,47,35,0,0,360,0,2,0
Lassen,2012,,,,,,,,,,,,,,,
Los Angeles,2012,366,33,203,93,35,2,207,151,83,0,19,176,0,169,2
Madera,2012,366,102,183,70,11,0,200,129,64,0,0,205,0,153,8
Marin,2012,366,319,47,0,0,0,81,52,35,0,15,148,0,203,0
Mariposa,2012,366,168,152,44,2,0,166,105,54,0,0,302,0,64,0
Mendocino,2012,357,314,43,0,0,0,77,52,33,0,0,198,0,152,7
Merced,2012,366,164,168,33,1,0,151,97,53,0,0,235,0,128,3
Modoc,2012,,,,,,,,,,,,,,,
Mono,2012,366,326,16,5,5,14,3868,54,17,0,0,0,0,24,342
Monterey,2012,365,331,34,0,0,0,84,50,37,0,3,238,0,99,25
Napa,2012,364,271,93,0,0,0,84,62,38,0,7,192,0,165,0
Nevada,2012,366,233,105,26,2,0,164,97,42,0,0,350,0,16,0
Orange,2012,366,131,223,12,0,0,147,84,55,0,15,110,0,240,1
Placer,2012,366,191,134,35,6,0,166,105,49,0,8,260,0,98,0
Plumas,2012,124,76,40,8,0,0,124,91,35.5,0,0,0,0,124,0
Riverside,2012,366,21,178,113,53,1,233,156,94,0,1,181,0,141,43
Sacramento,2012,366,177,132,46,10,1,201,119,51.5,0,6,264,0,95,1
San Benito,2012,366,286,72,8,0,0,133,71,41,0,0,341,0,24,1
San Bernardino,2012,366,50,173,84,51,8,207,169,89.5,0,14,227,0,116,9
San Diego,2012,366,71,259,35,1,0,165,100,64,0,12,141,0,183,30
San Francisco,2012,361,291,68,2,0,0,105,60,36,0,60,141,0,160,0
San Joaquin,2012,366,142,182,38,4,0,182,101,55.5,0,1,188,0,173,4
San Luis Obispo,2012,366,166,163,35,2,0,154,101,53,0,0,244,0,96,26
San Mateo,2012,366,300,66,0,0,0,98,56,36,0,22,137,0,207,0
Santa Barbara,2012,366,225,138,3,0,0,136,67,47,0,0,265,4,97,0
Santa Clara,2012,366,248,112,6,0,0,122,67,44.5,0,7,161,0,198,0
Santa Cruz,2012,365,357,7,1,0,0,101,44,34,0,0,285,0,80,0
Shasta,2012,366,262,98,5,1,0,172,77,44,0,0,356,0,10,0
Sierra,2012,,,,,,,,,,,,,,,
Siskiyou,2012,362,329,30,1,2,0,163,50,37,0,0,345,0,15,2
Solano,2012,366,264,97,5,0,0,140,65,41,0,6,228,0,132,0
Sonoma,2012,366,306,60,0,0,0,80,56,37,0,6,202,0,158,0
Stanislaus,2012,366,123,164,67,11,1,201,125,62,0,0,199,0,166,1
Sutter,2012,366,203,146,17,0,0,150,84,48,0,9,229,0,127,1
Tehama,2012,366,209,138,19,0,0,150,93,47,0,0,279,0,87,0
Trinity,2012,343,178,130,28,6,1,219,101,45,0,0,0,0,342,1
Tulare,2012,366,91,137,98,40,0,195,151,80,0,0,238,0,127,1
Tuolumne,2012,364,246,105,13,0,0,136,87,42,0,0,364,0,0,0
Ventura,2012,366,156,178,31,1,0,154,97,54,0,0,240,0,125,1
Yolo,2012,366,249,109,8,0,0,133,74,44,0,0,252,0,114,0
Yuba,2012,,,,,,,,,,,,,,,
Alameda,2011,365,220,134,11,0,0,147,74,44,0,16,136,0,213,0
Alpine,2011,7,4,3,0,0,0,57,57,42,0,0,0,0,7,0
Amador,2011,363,284,76,3,0,0,119,74,38,0,0,363,0,0,0
Butte,2011,365,149,192,24,0,0,149,90,55,0,0,176,0,189,0
Calaveras,2011,364,216,137,11,0,0,143,87,46,0,0,243,0,121,0
Colusa,2011,365,260,103,2,0,0,105,63,43,0,0,210,0,154,1
Contra Costa,2011,365,290,68,7,0,0,131,69,39,0,21,261,2,81,0
Del Norte,2011,120,119,1,0,0,0,54,29,13,0,0,0,0,89,31
El Dorado,2011,355,234,80,35,6,0,172,105,42,0,0,352,0,3,0
Fresno,2011,365,68,174,83,40,0,197,152,80,0,0,186,0,179,0
Glenn,2011,365,267,96,2,0,0,105,62,44,0,0,221,0,143,1
Humboldt,2011,362,303,59,0,0,0,78,55,35,0,3,213,0,145,1
Imperial,2011,365,192,140,32,1,0,164,93,49,8,56,237,0,57,7
Inyo,2011,365,173,146,33,5,8,13276,105,51,0,0,277,0,36,52
Kern,2011,365,65,160,100,40,0,200,151,84,0,1,209,0,150,5
Kings,2011,365,109,174,67,15,0,185,129,71,0,0,199,0,159,7
Lake,2011,365,359,6,0,0,0,54,44,34,0,0,364,0,1,0
Lassen,2011,,,,,,,,,,,,,,,
Los Angeles,2011,365,17,227,82,36,3,218,151,80,0,22,160,0,182,1
Madera,2011,365,62,225,63,15,0,179,133,71,0,0,140,0,219,6
Marin,2011,365,279,85,1,0,0,117,59,39,0,15,105,0,244,1
Mariposa,2011,365,211,126,28,0,0,150,97,48,0,0,295,0,68,2
Mendocino,2011,361,291,70,0,0,0,80,56,39,0,0,22,0,319,20
Merced,2011,362,123,179,58,2,0,155,115,64,0,1,176,0,185,0
Modoc,2011,,,,,,,,,,,,,,,
Mono,2011,365,313,34,4,1,13,4782,57,16,0,0,0,0,19,346
Monterey,2011,365,335,30,0,0,0,77,49,37,0,5,258,0,76,26
Napa,2011,365,243,120,2,0,0,120,66,42,1,9,144,0,209,2
Nevada,2011,365,251,93,20,1,0,154,87,43,0,0,340,0,25,0
Orange,2011,365,101,250,14,0,0,143,87,58,0,17,76,0,270,2
Placer,2011,365,173,153,33,6,0,172,101,52,0,6,234,0,125,0
Plumas,2011,122,75,42,4,1,0,153,88,38.5,0,0,0,0,122,0
Riverside,2011,365,22,187,97,50,9,320,164,92,0,0,181,2,133,49
Sacramento,2011,365,156,140,53,16,0,182,129,55,0,2,221,0,139,3
San Benito,2011,365,300,63,2,0,0,108,61,41,0,0,313,0,49,3
San Bernardino,2011,365,44,174,83,57,7,233,166,84,0,6,213,0,143,3
San Diego,2011,364,55,275,30,4,0,169,100,63,0,25,130,0,203,6
San Francisco,2011,365,252,111,2,0,0,131,70,41,0,77,121,0,167,0
San Joaquin,2011,365,173,149,36,7,0,156,103,53,0,4,201,0,155,5
San Luis Obispo,2011,365,138,208,19,0,0,133,93,56,0,0,190,0,166,9
San Mateo,2011,364,288,75,1,0,0,111,60,38,0,15,150,0,199,0
Santa Barbara,2011,365,206,156,2,1,0,161,63,49,0,2,173,1,186,3
Santa Clara,2011,365,187,172,6,0,0,138,72,50,0,3,85,0,277,0
Santa Cruz,2011,365,340,25,0,0,0,80,47,36,0,0,236,0,129,0
Shasta,2011,365,266,93,5,1,0,152,71,44,0,0,353,0,11,1
Sierra,2011,,,,,,,,,,,,,,,
Siskiyou,2011,356,340,16,0,0,0,71,47,37,0,0,338,0,16,2
Solano,2011,365,243,113,9,0,0,147,74,43,0,5,205,0,155,0
Sonoma,2011,365,294,71,0,0,0,95,60,35,0,5,173,0,186,1
Stanislaus,2011,365,124,170,57,14,0,169,122,64,0,0,191,0,174,0
Sutter,2011,365,153,191,20,1,0,152,88,54,0,5,142,0,218,0
Tehama,2011,365,195,155,15,0,0,122,84,48,0,0,215,0,149,1
Trinity,2011,210,133,44,31,2,0,158,113,26,0,0,0,0,187,23
Tulare,2011,365,68,149,93,55,0,195,159,84,0,1,207,0,157,0
Tuolumne,2011,355,259,84,12,0,0,126,84,41,0,0,355,0,0,0
Ventura,2011,365,222,127,14,2,0,151,84,47,0,6,331,0,28,0
Yolo,2011,365,187,169,9,0,0,140,76,50,0,4,158,0,202,1
Yuba,2011,,,,,,,,,,,,,,,
Alameda,2010,365,245,115,4,1,0,179,68,43,0,24,135,0,206,0
Alpine,2010,,,,,,,,,,,,,,,
Amador,2010,361,302,48,10,1,0,151,64,35,0,0,361,0,0,0
Butte,2010,365,208,144,13,0,0,126,84,47,0,0,264,0,101,0
Calaveras,2010,365,271,81,12,1,0,154,84,41,0,0,309,0,56,0
Colusa,2010,353,322,30,1,0,0,119,49,38,0,0,305,0,43,5
Contra Costa,2010,365,307,49,8,1,0,154,64,39,0,9,286,2,66,2
Del Norte,2010,110,109,1,0,0,0,52,25.5,12,0,0,0,0,69,41
El Dorado,2010,365,251,89,23,2,0,192,93,42,0,0,364,0,1,0
Fresno,2010,365,99,179,65,21,1,209,130,70,0,0,206,0,159,0
Glenn,2010,365,279,86,0,0,0,91,58,42,0,0,240,0,124,1
Humboldt,2010,362,355,7,0,0,0,71,39,30,1,7,316,0,35,3
Imperial,2010,365,163,151,51,0,0,140,108,53,1,50,268,0,43,3
Inyo,2010,365,248,86,13,1,17,4466,93,44,0,0,256,0,35,74
Kern,2010,365,80,160,85,38,2,202,151,79,0,0,218,0,144,3
Kings,2010,365,66,216,65,15,3,208,129,70,0,1,149,0,213,2
Lake,2010,361,356,5,0,0,0,74,44,35,0,0,360,0,1,0
Lassen,2010,,,,,,,,,,,,,,,
Los Angeles,2010,365,32,219,99,15,0,200,138,76,0,38,166,0,160,1
Madera,2010,364,215,121,18,9,1,201,90,46,0,18,269,0,75,2
Marin,2010,365,270,91,4,0,0,128,58,38,0,16,92,0,257,0
