"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","366","236","114","16",".",".","136","82","43",".","21","145",".","200","."
"06005","Amador County, CA","366","250","96","18","2",".","156","84","41","6",".","360",".",".","."
"06007","Butte County, CA","366","183","141","39","3",".","172","105","50.5","2","1","282",".","80","1"
"06009","Calaveras County, CA","362","223","111","24","4",".","156","93","45","1",".","343",".","18","."
"06011","Colusa County, CA","365","276","81","8",".",".","123","69","40",".",".","239",".","85","41"
"06013","Contra Costa County, CA","366","275","72","18","1",".","160","88","40",".","33","241","5","87","."
"06015","Del Norte County, CA","159","159",".",".",".",".","42","30","12",".",".",".",".","109","50"
"06017","El Dorado County, CA","366","178","127","53","8",".","192","112","51",".","6","355",".","4","1"
"06019","Fresno County, CA","366","59","175","107","25",".","195","143","86",".","11","228",".","126","1"
"06021","Glenn County, CA","363","309","54",".",".",".","100","61","37",".",".","354",".",".","9"
"06023","Humboldt County, CA","64","53","11",".",".",".","79","57","26.5",".",".",".",".","54","10"
"06025","Imperial County, CA","366","125","195","44","2",".","161","105","60.5","12","47","255",".","34","18"
"06027","Inyo County, CA","366","168","138","35","2","23","5121","119","55.5",".",".","276",".","9","81"
"06029","Kern County, CA","366","24","135","98","95","14","222","185","112.5",".","2","229",".","134","1"
"06031","Kings County, CA","365","167","134","56","8",".","172","112","55",".","87","214",".","48","16"
"06033","Lake County, CA","362","343","19",".",".",".","87","47","35",".",".","357",".","5","."
"06037","Los Angeles County, CA","366","29","179","87","67","4","229","169","90",".","39","174",".","153","."
"06039","Madera County, CA","340","214","103","23",".",".","147","91.5","44",".","44","296",".",".","."
"06041","Marin County, CA","360","350","10",".",".",".","77","39","29",".","159","166",".","34","1"
"06043","Mariposa County, CA","366","137","158","54","13","4","301","122","61",".",".","289",".","76","1"
"06045","Mendocino County, CA","366","356","10",".",".",".","64","44","32","1","41","299",".","21","4"
"06047","Merced County, CA","365","162","127","62","13","1","204","126","58",".","36","283",".","45","1"
"06051","Mono County, CA","331","197","103","23","1","7","883","100","48",".",".","259",".","16","56"
"06053","Monterey County, CA","366","342","21","3",".",".","129","47","34.5",".","25","325",".","9","7"
"06055","Napa County, CA","365","354","9","2",".",".","105","40","31","3","85","269",".",".","8"
"06057","Nevada County, CA","366","166","128","60","11","1","206","122","52",".",".","314",".","15","37"
"06059","Orange County, CA","366","75","215","66","10",".","179","126","67",".","33","205",".","127","1"
"06061","Placer County, CA","366","160","133","59","14",".","192","126","56",".","6","283",".","77","."
"06063","Plumas County, CA","366","296","67","3",".",".","124","70","41",".",".","208",".","77","81"
"06065","Riverside County, CA","366","60","129","93","67","17","212","172","97.5",".","11","213",".","139","3"
"06067","Sacramento County, CA","366","112","181","63","10",".","172","122","62.5",".","10","202",".","153","1"
"06069","San Benito County, CA","366","284","71","11",".",".","143","77","41",".",".","362",".","4","."
"06071","San Bernardino County, CA","366","64","134","88","61","19","242","179","90",".","68","234",".","61","3"
"06073","San Diego County, CA","366","75","236","49","6",".","174","112","67",".","41","193","2","125","5"
"06075","San Francisco County, CA","366","243","116","7",".",".","149","69","40.5",".","42","64","1","258","1"
"06077","San Joaquin County, CA","366","264","88","13","1",".","179","82","43",".","83","210",".","50","23"
"06079","San Luis Obispo County, CA","366","195","135","36",".",".","134","100","49",".","6","218","127","11","4"
"06081","San Mateo County, CA","362","253","103","6",".",".","120","68","40",".","19","110",".","233","."
"06083","Santa Barbara County, CA","366","217","130","17","2",".","192","87","48",".","7","344",".","15","."
"06085","Santa Clara County, CA","366","222","120","24",".",".","147","86","46",".","28","166",".","172","."
"06087","Santa Cruz County, CA","366","345","18","3",".",".","143","47","36",".","5","336","1","11","13"
"06089","Shasta County, CA","366","254","75","34","3",".","177","101","44",".",".","349",".","17","."
"06093","Siskiyou County, CA","352","328","23","1",".",".","101","49","33",".",".","329",".","9","14"
"06095","Solano County, CA","366","207","142","16","1",".","154","87","45",".","6","139",".","221","."
"06097","Sonoma County, CA","366","336","29","1",".",".","122","46","33",".","54","266",".","43","3"
"06099","Stanislaus County, CA","366","208","123","31","4",".","159","100","47","4","72","242",".","46","2"
"06101","Sutter County, CA","366","214","122","29","1",".","159","96","45.5",".","55","232",".","79","."
"06103","Tehama County, CA","304","189","67","47","1",".","159","108","42",".",".","287",".",".","17"
"06105","Trinity County, CA","140","138","2",".",".",".","61","25","11",".",".",".",".","108","32"
"06107","Tulare County, CA","366","46","157","86","77",".","195","164","95.5",".","5","218",".","143","."
"06109","Tuolumne County, CA","365","226","123","16",".",".","140","87","44","2",".","363",".",".","."
"06111","Ventura County, CA","366","161","125","66","14",".","182","129","56.5",".","19","305",".","42","."
"06113","Yolo County, CA","366","242","110","14",".",".","135","82","44",".","1","236",".","119","10"
