"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","365","272","71","15","6","1","201","80","40","6","105","196",".","58","."
"06005","Amador County, CA","357","234","87","31","5",".","166","105","42","8",".","349",".",".","."
"06007","Butte County, CA","365","126","152","71","16",".","190","133","64",".",".","227",".","136","2"
"06009","Calaveras County, CA","363","205","101","45","11","1","203","126","47",".",".","345",".","18","."
"06011","Colusa County, CA","365","261","91","12","1",".","152","77","41",".",".","274",".","29","62"
"06013","Contra Costa County, CA","365","241","89","24","11",".","177","97","44",".","30","221","12","101","1"
"06015","Del Norte County, CA","120","119","1",".",".",".","51","31","15",".",".",".",".","90","30"
"06017","El Dorado County, CA","365","170","94","61","31","9","234","154","54",".","12","343",".","9","1"
"06019","Fresno County, CA","365","34","98","116","95","22","228","190","126",".","9","242",".","113","1"
"06021","Glenn County, CA","365","253","105","7",".",".","122","77","43",".",".","319",".",".","46"
"06023","Humboldt County, CA","211","192","17","2",".",".","123","47","8",".",".",".",".","55","156"
"06025","Imperial County, CA","365","91","207","53","13","1","227","122","67","27","39","250",".","29","20"
"06027","Inyo County, CA","365","159","126","39","10","31","7811","156","60",".",".","273",".","7","85"
"06029","Kern County, CA","365","23","111","99","114","18","216","182","125",".","13","189",".","161","2"
"06031","Kings County, CA","364","154","108","67","35",".","200","147","64",".","62","242",".","46","14"
"06033","Lake County, CA","361","305","49","6","1",".","161","58","37",".",".","353",".","8","."
"06037","Los Angeles County, CA","365","34","152","104","53","22","241","179","99","4","57","160",".","141","3"
"06039","Madera County, CA","362","210","89","48","14","1","205","119","46",".","44","318",".",".","."
"06041","Marin County, CA","365","349","16",".",".",".","84","43","30",".","176","144",".","41","4"
"06043","Mariposa County, CA","364","157","104","79","24",".","179","140","59",".",".","317",".","42","5"
"06045","Mendocino County, CA","365","341","20","3","1",".","153","48","32","1","48","284",".","26","6"
"06047","Merced County, CA","363","143","90","74","53","3","221","161","71",".","32","284",".","45","2"
"06049","Modoc County, CA","2","2",".",".",".",".","21","21","21",".",".",".",".","2","."
"06051","Mono County, CA","299","263","28","2",".","6","6401","54","22","1",".","108",".","35","155"
"06053","Monterey County, CA","365","328","36","1",".",".","108","51","37",".","20","315",".","26","4"
"06055","Napa County, CA","360","348","10","2",".",".","140","44","32","2","101","242",".",".","15"
"06057","Nevada County, CA","365","181","96","62","23","3","208","140","51",".",".","345",".","16","4"
"06059","Orange County, CA","365","95","225","42","3",".","169","105","63",".","45","96",".","224","."
"06061","Placer County, CA","365","195","89","56","21","4","210","136","49",".","103","242",".","18","2"
"06063","Plumas County, CA","363","170","148","45",".",".","147","105","54",".",".","276",".","57","30"
"06065","Riverside County, CA","365","48","133","87","74","23","226","185","101",".","14","197",".","147","7"
"06067","Sacramento County, CA","365","89","173","64","34","5","216","152","74",".","18","234",".","110","3"
"06069","San Benito County, CA","365","257","74","30","4",".","172","100","42",".",".","359",".","6","."
"06071","San Bernardino County, CA","365","48","151","72","59","35","418","200","90",".","92","213",".","51","9"
"06073","San Diego County, CA","365","50","240","64","11",".","187","117","74",".","38","170",".","155","2"
"06075","San Francisco County, CA","365","273","71","14","7",".","159","73","35","2","84","146","1","131","1"
"06077","San Joaquin County, CA","365","224","103","34","4",".","177","101","46",".","93","177",".","66","29"
"06079","San Luis Obispo County, CA","365","172","150","42","1",".","158","101","52",".","10","180","145","12","18"
"06081","San Mateo County, CA","363","320","40","3",".",".","119","53","35","2","114","186",".","61","."
"06083","Santa Barbara County, CA","365","200","130","32","3",".","161","100","49",".",".","355",".","9","1"
"06085","Santa Clara County, CA","365","202","132","23","8",".","185","96","47",".","27","195",".","143","."
"06087","Santa Cruz County, CA","365","328","36","1",".",".","122","51","36",".","2","334","1","22","6"
"06089","Shasta County, CA","365","260","79","26",".",".","147","87","44",".",".","338",".","27","."
"06093","Siskiyou County, CA","352","299","52","1",".",".","115","61","33",".",".","330",".","8","14"
"06095","Solano County, CA","365","292","54","17","2",".","160","77","39","6","54","252",".","53","."
"06097","Sonoma County, CA","365","317","43","5",".",".","138","56","37",".","53","270",".","42","."
"06099","Stanislaus County, CA","365","177","107","47","33","1","208","147","53","3","84","220",".","58","."
"06101","Sutter County, CA","365","224","102","27","12",".","195","101","45","3","80","256",".","20","6"
"06103","Tehama County, CA","268","170","59","32","7",".","174","112","44",".",".","242",".",".","26"
"06105","Trinity County, CA","112","111","1",".",".",".","57","30","12",".",".",".",".","74","38"
"06107","Tulare County, CA","365","46","123","88","97","11","213","177","108",".","15","201",".","149","."
"06109","Tuolumne County, CA","363","193","74","76","20",".","190","133","48",".",".","363",".",".","."
"06111","Ventura County, CA","365","145","154","53","11","2","204","119","61",".","28","293",".","44","."
"06113","Yolo County, CA","365","263","79","17","6",".","164","84","42",".","48","275",".","37","5"
