"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","365","278","78","8","1",".","164","68","38",".","33","210",".","122","."
"06005","Amador County, CA","349","270","69","10",".",".","122","71","38",".",".","349",".",".","."
"06007","Butte County, CA","365","193","132","38","2",".","174","101","49",".",".","270",".","94","1"
"06009","Calaveras County, CA","359","254","91","14",".",".","143","80","42",".",".","342",".","16","1"
"06011","Colusa County, CA","365","279","78","7","1",".","152","66","41",".",".","232",".","133","."
"06013","Contra Costa County, CA","365","280","74","11",".",".","136","69","40",".","21","256","6","81","1"
"06015","Del Norte County, CA","115","115",".",".",".",".","49","27","12",".",".",".",".","95","20"
"06017","El Dorado County, CA","365","230","87","40","7","1","201","112","44",".",".","361",".","3","1"
"06019","Fresno County, CA","365","22","194","106","43",".","190","153","87",".",".","137",".","228","."
"06021","Glenn County, CA","365","236","117","12",".",".","138","77","44",".",".","223",".","142","."
"06023","Humboldt County, CA","336","316","20",".",".",".","97","42","29","7","8","272","2","42","5"
"06025","Imperial County, CA","365","138","172","46","9",".","190","112","58","3","59","244",".","36","23"
"06027","Inyo County, CA","365","170","146","38","8","3","623","112","51",".",".","294",".","4","67"
"06029","Kern County, CA","365","30","151","114","66","4","205","160","101",".","1","190",".","168","6"
"06031","Kings County, CA","365","69","191","83","22",".","196","136","77",".","1","161",".","189","14"
"06033","Lake County, CA","356","347","9",".",".",".","77","44","32",".",".","351",".","5","."
"06037","Los Angeles County, CA","365","45","193","91","30","6","213","150","81",".","64","172",".","124","5"
"06039","Madera County, CA","363","279","72","12",".",".","143","77","40",".","44","319",".",".","."
"06041","Marin County, CA","362","356","6",".",".",".","78","40","30",".","116","220",".","26","."
"06043","Mariposa County, CA","365","115","198","45","7",".","192","115","60",".",".","213",".","151","1"
"06045","Mendocino County, CA","365","358","7",".",".",".","90","42","31",".","35","313",".","8","9"
"06047","Merced County, CA","364","223","99","37","5",".","177","105","45.5",".","37","284",".","42","1"
"06051","Mono County, CA","276","242","20","1","2","11","9916","66","16.5",".",".",".",".","32","244"
"06053","Monterey County, CA","365","350","15",".",".",".","100","45","35",".","15","323",".","16","11"
"06055","Napa County, CA","365","213","146","6",".",".","120","77","46",".","2","75",".","287","1"
"06057","Nevada County, CA","365","133","171","52","9",".","177","119","57",".",".","238",".","127","."
"06059","Orange County, CA","365","151","185","23","4","2","381","93","53",".","41","142",".","180","2"
"06061","Placer County, CA","365","164","156","42","3",".","187","106","54",".","11","218",".","136","."
"06063","Plumas County, CA","137","70","60","6","1",".","160","87","50",".",".",".",".","134","3"
"06065","Riverside County, CA","365","56","126","115","60","8","1108","161","101",".","18","234",".","81","32"
"06067","Sacramento County, CA","365","123","172","55","14","1","218","126","60",".","38","201",".","126","."
"06069","San Benito County, CA","365","261","87","17",".",".","143","80","43",".",".","355",".","10","."
"06071","San Bernardino County, CA","365","64","145","75","66","15","234","179","90",".","59","247",".","41","18"
"06073","San Diego County, CA","365","87","217","51","9","1","257","115","67","2","39","217",".","99","8"
"06075","San Francisco County, CA","365","281","79","5",".",".","125","60","38",".","69","91",".","205","."
"06077","San Joaquin County, CA","365","201","137","26","1",".","154","93","48",".","39","154",".","170","2"
"06079","San Luis Obispo County, CA","365","169","153","41","2",".","156","105","54",".","6","311","27","12","9"
"06081","San Mateo County, CA","365","274","86","5",".",".","126","63","38",".","36","123",".","206","."
"06083","Santa Barbara County, CA","365","224","120","19","2",".","183","84","48",".","2","341",".","20","2"
"06085","Santa Clara County, CA","365","236","116","12","1",".","152","78","44",".","11","161",".","193","."
"06087","Santa Cruz County, CA","365","352","13",".",".",".","97","44","34",".","1","344",".","13","7"
"06089","Shasta County, CA","365","262","81","22",".",".","133","90","44",".",".","353",".","12","."
"06093","Siskiyou County, CA","348","326","21","1",".",".","126","47","32",".",".","328",".","10","10"
"06095","Solano County, CA","365","216","131","18",".",".","126","81","45",".","5","151","2","207","."
"06097","Sonoma County, CA","364","331","33",".",".",".","93","48","35",".","42","295",".","27","."
"06099","Stanislaus County, CA","365","146","167","37","15",".","178","115","56",".","1","148",".","215","1"
"06101","Sutter County, CA","365","205","127","32","1",".","151","98","48",".","21","213",".","130","1"
"06103","Tehama County, CA","359","262","68","28","1",".","154","97","39",".",".","352",".",".","7"
"06105","Trinity County, CA","118","116","2",".",".",".","60","29","12.5",".",".",".",".","65","53"
"06107","Tulare County, CA","365","59","126","120","60",".","192","156","100",".","2","198",".","164","1"
"06109","Tuolumne County, CA","364","246","79","37","2",".","169","101","42",".",".","364",".",".","."
"06111","Ventura County, CA","365","181","141","37","6",".","190","105","51",".","12","309",".","42","2"
"06113","Yolo County, CA","365","265","89","9","2",".","164","74","43",".","5","250",".","107","3"
