"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","365","290","57","12","6",".","178","68","40",".","116","189",".","60","."
"06005","Amador County, CA","363","248","89","25","1",".","154","93","40","3",".","360",".",".","."
"06007","Butte County, CA","365","152","162","43","8",".","159","111","56",".","3","253",".","108","1"
"06009","Calaveras County, CA","364","228","91","41","4",".","161","105","44","1",".","347",".","16","."
"06011","Colusa County, CA","363","234","106","21","2",".","156","87","42",".",".","291",".","39","33"
"06013","Contra Costa County, CA","365","258","80","21","6",".","192","87","44",".","36","215","8","105","1"
"06015","Del Norte County, CA","125","125",".",".",".",".","50","33","14",".",".",".",".","93","32"
"06017","El Dorado County, CA","365","160","119","53","30","3","204","147","58",".","15","339",".","11","."
"06019","Fresno County, CA","365","23","117","113","91","21","238","190","119","2","9","244",".","110","."
"06021","Glenn County, CA","364","259","89","16",".",".","147","80","43",".",".","326",".",".","38"
"06023","Humboldt County, CA","323","303","20",".",".",".","94","45","6",".",".",".",".","49","274"
"06025","Imperial County, CA","365","103","191","52","15","4","543","126","65","43","40","225",".","27","30"
"06027","Inyo County, CA","365","155","138","32","6","34","20646","184","58",".",".","281",".","2","82"
"06029","Kern County, CA","365","35","126","101","90","13","210","177","108",".","21","226",".","111","7"
"06031","Kings County, CA","361","157","128","52","23","1","202","133","56",".","44","257",".","41","19"
"06033","Lake County, CA","365","344","21",".",".",".","84","47","37",".",".","361",".","4","."
"06035","Lassen County, CA","40","35","5",".",".",".","76","54.5","27.5",".",".",".",".",".","40"
"06037","Los Angeles County, CA","365","20","159","127","48","11","230","161","101","2","65","150","2","145","1"
"06039","Madera County, CA","359","213","95","42","9",".","169","119","46",".","44","315",".",".","."
"06041","Marin County, CA","365","350","15",".",".",".","84","42","30","2","162","158",".","42","1"
"06043","Mariposa County, CA","346","188","91","60","7",".","182","122","48",".",".","335",".","6","5"
"06045","Mendocino County, CA","365","354","10","1",".",".","108","43","31","1","45","291",".","17","11"
"06047","Merced County, CA","357","156","112","62","27",".","200","143","61",".","10","313",".","29","5"
"06049","Modoc County, CA","62","54","8",".",".",".","99","53","22",".",".",".",".","37","25"
"06051","Mono County, CA","356","248","88","16","2","2","4378","93","37","78",".","174",".","40","64"
"06053","Monterey County, CA","365","343","20","2",".",".","129","47","34",".","14","313",".","26","12"
"06055","Napa County, CA","362","347","14","1",".",".","126","44","31",".","108","243",".",".","11"
"06057","Nevada County, CA","365","165","130","50","19","1","201","129","54",".",".","339",".","23","3"
"06059","Orange County, CA","365","112","192","50","11",".","179","115","64",".","55","111",".","199","."
"06061","Placer County, CA","365","216","88","37","23","1","202","133","46",".","77","270",".","18","."
"06063","Plumas County, CA","365","281","73","10","1",".","152","70","35",".",".","169",".","101","95"
"06065","Riverside County, CA","365","38","126","99","77","25","500","187","110",".","33","174",".","151","7"
"06067","Sacramento County, CA","365","141","143","56","23","2","203","143","59","2","27","228",".","100","8"
"06069","San Benito County, CA","364","272","72","18","2",".","156","84","42",".",".","361",".","3","."
"06071","San Bernardino County, CA","365","35","154","91","56","29","241","195","100",".","98","207",".","57","3"
"06073","San Diego County, CA","365","47","227","76","14","1","212","129","77","2","26","159",".","176","2"
"06075","San Francisco County, CA","365","291","61","10","3",".","162","63","36","1","111","128",".","123","2"
"06077","San Joaquin County, CA","365","246","95","19","5",".","166","87","44","2","79","194",".","62","28"
"06079","San Luis Obispo County, CA","365","171","151","41","2",".","167","103","54",".","11","190","150","10","4"
"06081","San Mateo County, CA","365","324","36","4","1",".","159","52","32","3","150","154",".","58","."
"06083","Santa Barbara County, CA","365","219","108","36","1","1","201","101","48",".","8","344",".","11","2"
"06085","Santa Clara County, CA","365","221","117","15","12",".","177","90","46",".","61","156",".","148","."
"06087","Santa Cruz County, CA","365","335","28","2",".",".","108","49","35",".","5","324","2","28","6"
"06089","Shasta County, CA","362","270","74","18",".",".","134","84","44",".",".","345",".","17","."
"06093","Siskiyou County, CA","288","287","1",".",".",".","69","26","12.5",".",".","194",".","53","41"
"06095","Solano County, CA","363","302","50","8","3",".","169","64","37","8","52","252",".","50","1"
"06097","Sonoma County, CA","365","322","37","5","1",".","162","54","36",".","53","270",".","41","1"
"06099","Stanislaus County, CA","365","190","128","31","16",".","187","112","50","1","72","229",".","52","11"
"06101","Sutter County, CA","365","240","96","26","3",".","169","97","44","4","60","275",".","20","6"
"06103","Tehama County, CA","279","168","84","27",".",".","150","100","44",".",".","260",".",".","19"
"06105","Trinity County, CA","118","110","8",".",".",".","62","40","13",".",".",".",".","85","33"
"06107","Tulare County, CA","365","99","94","93","77","2","206","166","95",".","17","285",".","58","5"
"06109","Tuolumne County, CA","365","208","108","46","3",".","179","112","45","14",".","351",".",".","."
"06111","Ventura County, CA","365","147","134","61","21","2","208","137","61",".","32","287",".","46","."
"06113","Yolo County, CA","365","274","75","14","2",".","169","77","40",".","48","271",".","40","6"
