"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","365","214","139","12",".",".","147","76","46",".","12","176",".","177","."
"06005","Amador County, CA","364","283","73","8",".",".","140","67","41",".",".","364",".",".","."
"06007","Butte County, CA","365","170","182","12","1",".","152","84","52",".",".","235",".","129","1"
"06009","Calaveras County, CA","365","245","98","18","2","2","320","90","45",".",".","270",".","95","."
"06011","Colusa County, CA","364","227","131","4","2",".","191","72","46",".",".","138",".","223","3"
"06013","Contra Costa County, CA","365","258","99","8",".",".","147","67","44",".","6","205",".","154","."
"06015","Del Norte County, CA","114","106","8",".",".",".","68","39","15",".",".",".",".","114","."
"06017","El Dorado County, CA","365","239","102","22","2",".","166","93","44",".",".","349",".","5","11"
"06019","Fresno County, CA","365","60","203","79","22","1","205","136","80",".","1","227",".","132","5"
"06021","Glenn County, CA","365","257","108",".",".",".","93","67","44",".",".","238",".","104","23"
"06023","Humboldt County, CA","365","332","33",".",".",".","90","49","32",".",".","259",".","89","17"
"06025","Imperial County, CA","365","87","236","39","3",".","175","105","63",".","4","142",".","136","83"
"06027","Inyo County, CA","365","203","141","12","6","3","1383","90","48",".",".","284",".","31","50"
"06029","Kern County, CA","365","44","199","93","28","1","201","146","84",".","1","227",".","133","4"
"06031","Kings County, CA","365","90","205","60","10",".","174","119","71",".",".","193",".","134","38"
"06033","Lake County, CA","363","351","11","1",".",".","148","47","36",".",".","361",".","2","."
"06037","Los Angeles County, CA","365","26","207","95","36","1","203","151","79",".","24","184",".","155","2"
"06039","Madera County, CA","365","109","209","43","4",".","154","105","63",".",".","219",".","128","18"
"06041","Marin County, CA","364","284","78","2",".",".","103","61","36",".","16","170",".","177","1"
"06043","Mariposa County, CA","365","239","115","6","4","1","215","84","46",".",".","323",".","33","9"
"06045","Mendocino County, CA","365","302","59","2","2",".","160","55","38",".",".","126",".","239","."
"06047","Merced County, CA","365","142","178","41","4",".","159","105","58",".",".","214",".","150","1"
"06051","Mono County, CA","365","321","25","2","4","13","3994","54","14",".",".",".",".","37","328"
"06053","Monterey County, CA","365","331","33","1",".",".","120","50","37",".","2","248",".","89","26"
"06055","Napa County, CA","365","237","127","1",".",".","108","69","44","1",".","141",".","221","2"
"06057","Nevada County, CA","364","217","116","29","2",".","166","93","47",".",".","356",".","8","."
"06059","Orange County, CA","365","127","217","19","2",".","156","87","56",".","34","127",".","203","1"
"06061","Placer County, CA","365","168","176","17","4",".","187","90","54",".",".","263",".","102","."
"06063","Plumas County, CA","132","68","50","10","4",".","157","102","49",".",".",".",".","132","."
"06065","Riverside County, CA","365","42","184","105","32","2","238","150","87",".",".","193",".","107","65"
"06067","Sacramento County, CA","365","153","184","25","3",".","172","93","54",".","1","190",".","174","."
"06069","San Benito County, CA","365","313","52",".",".",".","93","58","39",".",".","339",".","24","2"
"06071","San Bernardino County, CA","365","46","186","91","37","5","223","154","84",".","36","201","6","115","7"
"06073","San Diego County, CA","365","91","233","40","1",".","155","102","61",".","7","199",".","156","3"
"06075","San Francisco County, CA","365","300","65",".",".",".","100","56","35",".","62","163",".","140","."
"06077","San Joaquin County, CA","365","138","191","32","4",".","164","100","56",".","1","164",".","195","5"
"06079","San Luis Obispo County, CA","365","163","197","5",".",".","126","80","53",".",".","185",".","161","19"
"06081","San Mateo County, CA","364","326","37","1",".",".","101","51","32",".","35","231",".","98","."
"06083","Santa Barbara County, CA","365","249","115","1",".",".","101","67","45",".","3","242",".","116","4"
"06085","Santa Clara County, CA","365","247","111","7",".",".","147","67","43",".","15","183",".","167","."
"06087","Santa Cruz County, CA","365","320","45",".",".",".","94","54","35",".",".","246",".","119","."
"06089","Shasta County, CA","365","266","90","8","1",".","156","77","44",".",".","354",".","11","."
"06093","Siskiyou County, CA","362","334","24","4",".",".","139","48","36",".",".","340",".","20","2"
"06095","Solano County, CA","365","246","115","4",".",".","118","74","44",".","6","195",".","163","1"
"06097","Sonoma County, CA","365","321","44",".",".",".","88","53","35",".",".","259",".","102","4"
"06099","Stanislaus County, CA","365","127","190","43","5",".","187","112","59",".",".","198",".","159","8"
"06101","Sutter County, CA","365","194","163","8",".",".","119","84","49","1","2","225",".","136","1"
"06103","Tehama County, CA","365","231","115","18","1",".","153","87","45",".",".","311",".","52","2"
"06105","Trinity County, CA","68","68",".",".",".",".","49","22","9",".",".",".",".","68","."
"06107","Tulare County, CA","365","50","217","78","20",".","170","143","78",".",".","204",".","157","4"
"06109","Tuolumne County, CA","364","264","89","11",".",".","126","77","43",".",".","364",".",".","."
"06111","Ventura County, CA","365","183","169","13",".",".","126","84","50",".","4","222",".","135","4"
"06113","Yolo County, CA","365","236","125","4",".",".","103","75","44",".","1","231",".","133","."
