"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","365","248","103","12","2",".","161","76","43",".","17","172",".","176","."
"06005","Amador County, CA","365","277","66","18","4",".","179","87","38","12",".","353",".",".","."
"06007","Butte County, CA","365","213","113","38","1",".","159","105","47",".","2","294",".","69","."
"06009","Calaveras County, CA","365","247","74","38","6",".","182","105","43",".",".","352",".","13","."
"06011","Colusa County, CA","365","219","142","4",".",".","130","69","44",".",".","168",".","192","5"
"06013","Contra Costa County, CA","365","282","76","7",".",".","134","71","40",".","25","248","3","89","."
"06015","Del Norte County, CA","131","131",".",".",".",".","43","23","13",".",".",".",".","117","14"
"06017","El Dorado County, CA","364","237","67","37","23",".","197","129","43",".",".","363",".",".","1"
"06019","Fresno County, CA","365","105","145","70","43","2","206","154","72",".","16","217",".","131","1"
"06021","Glenn County, CA","364","323","41",".",".",".","100","51","37",".",".","354",".",".","10"
"06023","Humboldt County, CA","37","29","8",".",".",".","92","66","24",".",".",".",".","34","3"
"06025","Imperial County, CA","365","126","170","59","10",".","187","119","61","9","55","255",".","38","8"
"06027","Inyo County, CA","365","170","125","46","9","15","3884","133","51",".",".","299",".","3","63"
"06029","Kern County, CA","365","47","149","90","72","7","208","167","93",".","4","206",".","153","2"
"06031","Kings County, CA","364","201","115","41","7",".","182","105","48",".","63","247",".","49","5"
"06033","Lake County, CA","361","352","9",".",".",".","87","46","35",".",".","355",".","6","."
"06037","Los Angeles County, CA","365","57","170","77","49","12","238","166","82","2","52","183","1","127","."
"06039","Madera County, CA","362","265","79","18",".",".","136","87","40",".","66","296",".",".","."
"06041","Marin County, CA","362","354","8",".",".",".","64","40","29",".","111","221",".","30","."
"06043","Mariposa County, CA","365","114","204","41","6",".","177","108","57",".",".","194",".","170","1"
"06045","Mendocino County, CA","365","357","8",".",".",".","69","43","32","1","34","312",".","12","6"
"06047","Merced County, CA","364","231","89","42","2",".","169","108","43",".","46","268",".","48","2"
"06051","Mono County, CA","250","212","24","1","4","9","2004","64.5","17",".",".",".",".","64","186"
"06053","Monterey County, CA","365","351","14",".",".",".","84","45","35",".","21","323",".","15","6"
"06055","Napa County, CA","364","360","4",".",".",".","90","41","31","2","74","285",".",".","3"
"06057","Nevada County, CA","365","188","113","44","18","2","216","126","50",".",".","300",".","21","44"
"06059","Orange County, CA","365","125","212","27","1",".","155","93","57",".","44","148",".","173","."
"06061","Placer County, CA","365","153","147","44","19","2","203","130","56",".","9","213",".","143","."
"06063","Plumas County, CA","363","276","85",".","2",".","177","63","40",".",".","209",".","87","67"
"06065","Riverside County, CA","365","73","135","89","53","15","228","172","90",".","10","222",".","125","8"
"06067","Sacramento County, CA","365","136","161","40","24","4","213","134","59",".","6","193",".","164","2"
"06069","San Benito County, CA","365","296","65","4",".",".","150","71","40",".",".","363",".","2","."
"06071","San Bernardino County, CA","365","69","149","69","54","24","242","182","80",".","85","230",".","46","4"
"06073","San Diego County, CA","365","83","227","50","5",".","159","111","67",".","59","208",".","92","6"
"06075","San Francisco County, CA","365","288","70","7",".",".","122","63","37",".","61","113",".","191","."
"06077","San Joaquin County, CA","364","280","69","13","2",".","155","71","40","2","104","194",".","59","5"
"06079","San Luis Obispo County, CA","365","281","79","5",".",".","150","67","42",".","12","328","10","13","2"
"06081","San Mateo County, CA","365","235","123","7",".",".","133","71","42",".","15","118",".","231","1"
"06083","Santa Barbara County, CA","365","233","119","13",".",".","140","84","47",".","2","344",".","18","1"
"06085","Santa Clara County, CA","365","213","130","21","1",".","154","88","46",".","21","162",".","181","1"
"06087","Santa Cruz County, CA","365","351","14",".",".",".","87","44","34",".","2","344",".","13","6"
"06089","Shasta County, CA","365","277","70","15","3",".","159","84","43",".",".","355",".","10","."
"06093","Siskiyou County, CA","356","331","25",".",".",".","80","48","34.5",".",".","335",".","17","4"
"06095","Solano County, CA","365","244","106","15",".",".","145","79","41",".","6","168",".","191","."
"06097","Sonoma County, CA","365","344","21",".",".",".","96","44","31",".","51","277",".","37","."
"06099","Stanislaus County, CA","365","242","83","32","8",".","172","105","42","2","80","226",".","55","2"
"06101","Sutter County, CA","365","201","136","28",".",".","143","93","48",".","21","215",".","128","1"
"06103","Tehama County, CA","295","188","74","32","1",".","151","101","43",".",".","279",".",".","16"
"06105","Trinity County, CA","113","113",".",".",".",".","32","21","9",".",".",".",".","102","11"
"06107","Tulare County, CA","365","74","142","79","66","4","207","161","84",".",".","200",".","165","."
"06109","Tuolumne County, CA","365","264","81","19","1",".","159","87","41","7",".","358",".",".","."
"06111","Ventura County, CA","365","183","120","55","7",".","187","119","50",".","25","307",".","33","."
"06113","Yolo County, CA","365","241","109","13","2",".","153","79","44",".","2","225",".","137","1"
