"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","365","190","162","12","1",".","151","80","49",".","18","109",".","238","."
"06005","Amador County, CA","362","298","63","1",".",".","122","67","38",".",".","362",".",".","."
"06007","Butte County, CA","365","185","148","31","1",".","156","100","50",".","1","257",".","107","."
"06009","Calaveras County, CA","364","265","68","31",".",".","136","93","41",".",".","351",".","13","."
"06011","Colusa County, CA","365","241","124",".",".",".","97","66","44",".",".","186",".","179","."
"06013","Contra Costa County, CA","365","274","84","6","1",".","172","76","40",".","10","272",".","83","."
"06015","Del Norte County, CA","125","123","2",".",".",".","84","30","12",".",".",".",".","89","36"
"06017","El Dorado County, CA","362","240","82","33","7",".","177","105","43.5",".",".","359",".","2","1"
"06019","Fresno County, CA","365","109","140","80","36",".","200","150","77",".","7","225",".","133","."
"06021","Glenn County, CA","365","251","110","4",".",".","115","66","42",".",".","234",".","130","1"
"06023","Humboldt County, CA","360","341","19",".",".",".","89","42","28",".","23","288","3","45","1"
"06025","Imperial County, CA","365","155","158","50","2",".","161","105","55","3","56","253",".","36","17"
"06027","Inyo County, CA","365","219","124","5","5","12","1402","87","48",".",".","268",".","10","87"
"06029","Kern County, CA","365","39","157","91","73","5","299","160","96",".",".","189",".","169","7"
"06031","Kings County, CA","365","90","177","86","11","1","289","133","71",".",".","193",".","157","15"
"06033","Lake County, CA","362","349","13",".",".",".","90","44","33.5",".",".","359",".","3","."
"06037","Los Angeles County, CA","365","34","213","71","43","4","218","156","79",".","31","168",".","160","6"
"06039","Madera County, CA","365","262","77","23","3",".","177","90","40",".","52","313",".",".","."
"06041","Marin County, CA","364","330","34",".",".",".","97","50","31",".","62","222",".","79","1"
"06043","Mariposa County, CA","365","173","158","33","1",".","151","100","51",".",".","274",".","89","2"
"06045","Mendocino County, CA","365","162","202","1",".",".","138","69","54",".","25","29",".","298","13"
"06047","Merced County, CA","361","188","124","49",".",".","145","105","49",".","19","266",".","75","1"
"06051","Mono County, CA","365","320","29","4","2","10","14043","57","17",".",".",".",".","30","335"
"06053","Monterey County, CA","365","355","9","1",".",".","140","43","33",".","11","339",".","9","6"
"06055","Napa County, CA","365","259","103","3",".",".","122","66","38",".",".","170",".","195","."
"06057","Nevada County, CA","364","244","84","34","2",".","164","100","44",".",".","347",".","17","."
"06059","Orange County, CA","365","126","214","21","4",".","174","93","57",".","37","129",".","197","2"
"06061","Placer County, CA","365","167","161","27","10",".","190","101","52",".","6","226",".","133","."
"06063","Plumas County, CA","119","77","38","4",".",".","140","82","42",".",".",".",".","119","."
"06065","Riverside County, CA","365","29","188","90","56","2","204","164","87",".","8","185",".","123","49"
"06067","Sacramento County, CA","365","162","140","41","22",".","197","129","54",".","4","243",".","117","1"
"06069","San Benito County, CA","365","289","69","7",".",".","108","67","41",".",".","356",".","9","."
"06071","San Bernardino County, CA","365","68","158","70","63","6","224","179","82",".","27","240",".","91","7"
"06073","San Diego County, CA","365","59","257","44","5",".","179","108","67",".","38","187",".","132","8"
"06075","San Francisco County, CA","365","196","164","5",".",".","136","67","48",".","21","39",".","305","."
"06077","San Joaquin County, CA","365","244","97","23","1",".","177","92","44",".","39","246",".","74","6"
"06079","San Luis Obispo County, CA","365","171","165","29",".",".","141","97","52",".",".","278",".","74","13"
"06081","San Mateo County, CA","365","257","108",".",".",".","97","64","40",".","22","113",".","230","."
"06083","Santa Barbara County, CA","365","260","94","7","4",".","172","71","45",".","2","348",".","14","1"
"06085","Santa Clara County, CA","365","244","111","10",".",".","140","75","43",".","17","183",".","165","."
"06087","Santa Cruz County, CA","365","355","10",".",".",".","87","43","31","3","6","338",".","14","4"
"06089","Shasta County, CA","365","275","82","8",".",".","122","77","44",".",".","353",".","12","."
"06093","Siskiyou County, CA","323","311","11","1",".",".","110","44","31",".",".","275",".","44","4"
"06095","Solano County, CA","365","239","117","9",".",".","150","78","40",".","5","195",".","165","."
"06097","Sonoma County, CA","365","316","49",".",".",".","87","54","33",".","21","260",".","84","."
"06099","Stanislaus County, CA","365","142","156","55","12",".","192","119","58",".","1","194",".","169","1"
"06101","Sutter County, CA","365","200","153","12",".",".","125","84","48",".","11","152",".","202","."
"06103","Tehama County, CA","264","171","62","31",".",".","136","105","43",".",".","242",".",".","22"
"06105","Trinity County, CA","119","118","1",".",".",".","53","30","14",".",".",".",".","74","45"
"06107","Tulare County, CA","365","85","147","83","50",".","187","154","84",".","3","226",".","134","2"
"06109","Tuolumne County, CA","361","256","86","19",".",".","129","90","42",".",".","361",".",".","."
"06111","Ventura County, CA","365","201","124","34","6",".","174","105","49",".","11","312",".","40","2"
"06113","Yolo County, CA","365","249","106","10",".",".","140","79","43",".","2","250",".","112","1"
