"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","365","300","53","9","3",".","172","64","39","4","97","220",".","44","."
"06005","Amador County, CA","364","256","79","29",".",".","150","97","41","6",".","358",".",".","."
"06007","Butte County, CA","365","144","170","43","8",".","164","108","58",".",".","220",".","145","."
"06009","Calaveras County, CA","363","212","85","50","16",".","179","122","45","3",".","341",".","19","."
"06011","Colusa County, CA","365","291","73","1",".",".","101","63","38",".",".","274",".","45","46"
"06013","Contra Costa County, CA","365","245","102","18",".",".","150","82","44",".","30","240","5","89","1"
"06015","Del Norte County, CA","148","148",".",".",".",".","43","22","12",".",".",".",".","97","51"
"06017","El Dorado County, CA","365","168","113","57","23","4","218","136","54",".","8","348",".","8","1"
"06019","Fresno County, CA","365","40","131","95","87","12","212","177","107",".","10","230",".","124","1"
"06021","Glenn County, CA","365","278","80","7",".",".","129","67","40",".",".","316",".",".","49"
"06023","Humboldt County, CA","64","56","7","1",".",".","102","54","25.5",".",".",".",".","51","13"
"06025","Imperial County, CA","365","124","177","54","9","1","736","113","61","14","54","234",".","40","23"
"06027","Inyo County, CA","365","179","120","42","5","19","16515","132","51",".",".","293",".","3","69"
"06029","Kern County, CA","365","23","118","100","93","31","223","197","118",".",".","205",".","158","2"
"06031","Kings County, CA","364","166","121","66","11",".","187","126","55.5",".","61","246",".","49","8"
"06033","Lake County, CA","363","331","32",".",".",".","84","48","37",".",".","359",".","4","."
"06037","Los Angeles County, CA","365","41","154","83","57","30","249","197","95","2","54","184",".","125","."
"06039","Madera County, CA","364","204","96","51","13",".","192","126","46",".","59","305",".",".","."
"06041","Marin County, CA","365","358","7",".",".",".","90","38","28",".","217","113",".","34","1"
"06043","Mariposa County, CA","365","163","97","82","23",".","195","140","55",".",".","344",".","21","."
"06045","Mendocino County, CA","365","339","26",".",".",".","87","47","33","5","39","295",".","22","4"
"06047","Merced County, CA","364","128","118","65","49","4","205","159","71",".","33","284",".","45","2"
"06049","Modoc County, CA","2","2",".",".",".",".","42","42","31.5",".",".",".",".","2","."
"06051","Mono County, CA","314","177","117","11","2","7","5641","90","48",".",".","258",".","21","35"
"06053","Monterey County, CA","365","333","29","3",".",".","136","48","36",".","11","331",".","14","9"
"06055","Napa County, CA","365","350","12","3",".",".","143","43","31","1","99","259",".",".","6"
"06057","Nevada County, CA","365","172","100","71","22",".","195","133","58",".",".","336",".","20","9"
"06059","Orange County, CA","365","93","211","48","13",".","200","116","63",".","47","163",".","152","3"
"06061","Placer County, CA","365","190","119","41","13","2","206","126","50",".","60","288",".","17","."
"06063","Plumas County, CA","355","277","71","7",".",".","144","70","41",".",".","229",".","76","50"
"06065","Riverside County, CA","365","47","152","68","70","28","243","195","97",".","14","194",".","146","11"
"06067","Sacramento County, CA","365","99","179","57","25","5","214","144","67","1","8","232",".","120","4"
"06069","San Benito County, CA","365","257","88","19","1",".","156","90","43",".",".","365",".",".","."
"06071","San Bernardino County, CA","365","69","135","61","49","51","251","208","90",".","74","233",".","52","6"
"06073","San Diego County, CA","365","82","204","71","7","1","289","126","68","2","37","181",".","142","3"
"06075","San Francisco County, CA","365","294","66","5",".",".","116","62","37",".","101","147","1","115","1"
"06077","San Joaquin County, CA","365","240","98","25","2",".","159","97","44",".","84","203",".","61","17"
"06079","San Luis Obispo County, CA","365","187","146","31","1",".","159","97","50",".","8","218","122","13","4"
"06081","San Mateo County, CA","365","335","27","3",".",".","126","47","33",".","108","208",".","49","."
"06083","Santa Barbara County, CA","365","202","121","37","5",".","192","101","49",".","7","344","2","11","1"
"06085","Santa Clara County, CA","365","215","127","17","6",".","190","90","47",".","34","187",".","144","."
"06087","Santa Cruz County, CA","365","335","28","2",".",".","112","48","35",".","1","343","1","16","4"
"06089","Shasta County, CA","364","262","77","18","7",".","177","90","43",".",".","342",".","20","2"
"06093","Siskiyou County, CA","291","235","53","3",".",".","112","61","39",".",".","249",".","21","21"
"06095","Solano County, CA","365","300","55","10",".",".","136","61","38","2","60","262",".","41","."
"06097","Sonoma County, CA","365","330","33","2",".",".","133","49","37",".","58","266",".","40","1"
"06099","Stanislaus County, CA","365","194","102","53","16",".","187","126","49","4","79","230",".","48","4"
"06101","Sutter County, CA","365","248","80","32","5",".","185","101","42",".","95","248",".","18","4"
"06103","Tehama County, CA","278","155","85","35","3",".","156","105","46",".",".","261",".",".","17"
"06105","Trinity County, CA","125","124","1",".",".",".","51","30","13",".",".",".",".","91","34"
"06107","Tulare County, CA","365","56","126","93","78","12","210","177","101",".",".","223",".","141","1"
"06109","Tuolumne County, CA","365","208","100","52","5",".","156","115","44","4",".","361",".",".","."
"06111","Ventura County, CA","365","164","105","68","27","1","209","143","54",".","41","280",".","39","5"
"06113","Yolo County, CA","365","250","92","23",".",".","147","85","44",".","32","259",".","72","2"
