"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","366","293","59","11","2","1","209","70","39","2","115","193",".","56","."
"06005","Amador County, CA","365","237","83","34","11",".","192","112","44","11",".","354",".",".","."
"06007","Butte County, CA","360","225","88","40","7",".","174","110","44","10","41","261",".","25","23"
"06009","Calaveras County, CA","361","242","71","34","14",".","200","115","38","26",".","310",".","24","1"
"06011","Colusa County, CA","365","306","54","5",".",".","105","61","36",".",".","276",".","30","59"
"06013","Contra Costa County, CA","366","249","93","23","1",".","172","89","43",".","31","213","9","112","1"
"06015","Del Norte County, CA","134","133","1",".",".",".","53","29","14",".",".",".",".","87","47"
"06017","El Dorado County, CA","366","184","107","44","29","2","208","136","50",".","20","332",".","14","."
"06019","Fresno County, CA","366","50","121","89","88","18","227","183","112","1","24","230",".","110","1"
"06021","Glenn County, CA","366","284","76","6",".",".","126","67","40",".",".","327",".",".","39"
"06023","Humboldt County, CA","77","63","14",".",".",".","76","60","28",".",".",".",".","57","20"
"06025","Imperial County, CA","365","141","171","41","10","2","208","115","59","31","78","178",".","41","37"
"06027","Inyo County, CA","366","184","123","32","4","23","10736","126","50",".",".","283",".","3","80"
"06029","Kern County, CA","366","52","110","95","100","9","213","179","110.5","1","14","229",".","118","4"
"06031","Kings County, CA","364","143","99","77","43","2","205","159","70",".","58","255",".","36","15"
"06033","Lake County, CA","366","350","15","1",".",".","108","44","34",".",".","362",".","4","."
"06035","Lassen County, CA","33","26","7",".",".",".","63","54","28",".",".",".",".",".","33"
"06037","Los Angeles County, CA","366","27","164","114","51","10","243","159","99","7","92","129","2","134","2"
"06039","Madera County, CA","362","217","98","40","7",".","177","108","45",".","67","295",".",".","."
"06041","Marin County, CA","363","356","7",".",".",".","61","39","28","3","180","140",".","34","6"
"06043","Mariposa County, CA","362","199","93","58","12",".","187","126","48",".",".","357",".","1","4"
"06045","Mendocino County, CA","366","356","10",".",".",".","72","39","30","8","69","258",".","21","10"
"06047","Merced County, CA","363","157","99","68","36","3","207","151","58",".","15","307",".","37","4"
"06049","Modoc County, CA","74","62","10","2",".",".","107","59","25",".",".",".",".","47","27"
"06051","Mono County, CA","349","327","13","1",".","8","10362","31","11","71",".",".",".","13","265"
"06053","Monterey County, CA","366","339","24","3",".",".","129","47","36",".","14","323",".","18","11"
"06055","Napa County, CA","364","355","9",".",".",".","77","41","31","7","107","245",".",".","5"
"06057","Nevada County, CA","366","162","116","63","22","3","208","136","57",".",".","326",".","32","8"
"06059","Orange County, CA","366","110","200","36","19","1","205","127","62","2","70","98",".","195","1"
"06061","Placer County, CA","366","217","89","41","18","1","202","126","46",".","109","237",".","16","4"
"06063","Plumas County, CA","365","280","77","8",".",".","127","70","41",".",".","302",".","37","26"
"06065","Riverside County, CA","366","51","125","102","76","12","222","172","103.5",".","40","185","1","128","12"
"06067","Sacramento County, CA","366","166","128","42","29","1","203","143","55","8","19","214",".","123","2"
"06069","San Benito County, CA","364","276","66","22",".",".","147","87","40",".",".","359",".","4","1"
"06071","San Bernardino County, CA","366","49","150","75","74","18","246","179","94.5",".","92","209",".","58","7"
"06073","San Diego County, CA","366","73","196","81","15","1","201","133","74",".","44","206","3","111","2"
"06075","San Francisco County, CA","366","277","83","6",".",".","132","66","36",".","119","112",".","135","."
"06077","San Joaquin County, CA","366","230","102","27","7",".","172","97","44","7","95","196",".","60","8"
"06079","San Luis Obispo County, CA","366","183","143","40",".",".","143","102","50.5",".","21","164","166","12","3"
"06081","San Mateo County, CA","363","331","27","5",".",".","129","48","33","1","173","126",".","60","3"
"06083","Santa Barbara County, CA","366","211","117","36","2",".","154","101","48",".","25","315",".","22","4"
"06085","Santa Clara County, CA","366","228","104","26","8",".","190","97","44",".","75","128",".","163","."
"06087","Santa Cruz County, CA","366","342","23","1",".",".","126","46","36",".","8","326",".","27","5"
"06089","Shasta County, CA","366","245","95","25","1",".","154","93","44",".",".","354",".","12","."
"06091","Sierra County, CA","29","29",".",".",".",".","36","30","17",".",".",".",".",".","29"
"06093","Siskiyou County, CA","310","292","17","1",".",".","101","48.5","35.5",".",".","267",".","21","22"
"06095","Solano County, CA","366","290","65","9","2",".","153","67","37","14","61","238",".","53","."
"06097","Sonoma County, CA","366","324","35","7",".",".","122","54","37",".","54","267",".","43","2"
"06099","Stanislaus County, CA","366","196","111","42","16","1","202","122","49","7","67","213",".","65","14"
"06101","Sutter County, CA","366","241","93","28","4",".","166","100","43","15","45","269",".","23","14"
"06103","Tehama County, CA","320","218","70","30","2",".","156","100.5","39.5",".",".","305",".",".","15"
"06105","Trinity County, CA","81","81",".",".",".",".","46","28","13",".",".",".",".","22","59"
"06107","Tulare County, CA","366","127","79","75","81","4","203","177","85","2","35","269",".","57","3"
"06109","Tuolumne County, CA","362","183","98","61","20",".","197","133","49","4",".","358",".",".","."
"06111","Ventura County, CA","366","147","135","58","25","1","203","143","59",".","50","273",".","42","1"
"06113","Yolo County, CA","366","273","71","20","2",".","159","84","40","1","47","278",".","36","4"
